Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2
0.709138,-0.36323,-0.604308,3.40795,-0.45421,1.93483
0.620283,-0.60012,-0.505079,3.34948,-0.527127,1.92423
0.656995,-0.521478,-0.544444,3.35346,-0.522782,1.92487
0.637048,-0.566309,-0.522938,3.3836,-0.523962,1.96238
0.656994,-0.521476,-0.544446,3.36542,-0.508815,1.92593
0.566162,-0.691211,-0.449098,3.30793,-0.566303,1.92434
0.599824,-0.63739,-0.483679,3.33595,-0.539882,1.92426
0.578513,-0.672382,-0.461763,3.362,-0.561287,1.98478
0.548237,-0.716759,-0.430921,3.30459,-0.569104,1.92474
0.533923,-0.735781,-0.416596,3.33736,-0.595059,2.00961
0.503214,-0.773155,-0.386015,3.31105,-0.626498,2.03574
0.48199,-0.79649,-0.365088,3.28375,-0.656419,2.06262
0.455259,-0.823318,-0.338949,3.25562,-0.684975,2.09013
0.415072,-0.858886,-0.300049,3.22624,-0.711258,2.11858
0.36321,-0.897413,-0.250458,3.19533,-0.734374,2.14813
0.294328,-0.937528,-0.185503,3.16287,-0.753698,2.17875
0.211804,-0.971229,-0.10887,3.12873,-0.767607,2.21041
0.123571,-0.991935,-0.0282021,3.09338,-0.776022,2.24272
0.0193175,-0.997661,0.0655678,3.05726,-0.778352,2.27519
-0.0966123,-0.981051,0.167944,3.02103,-0.77319,2.30715
-0.22763,-0.932271,0.28117,2.98548,-0.760546,2.33788
-0.353896,-0.851244,0.38748,2.95225,-0.73873,2.36577
-0.445398,-0.766691,0.462391,2.92181,-0.710074,2.3906
-0.511039,-0.688433,0.514683,2.89412,-0.676723,2.41259
-0.555594,-0.624199,0.549264,2.86899,-0.639916,2.43199
-0.585027,-0.575356,0.571584,2.84569,-0.60105,2.4496
-0.60954,-0.529755,0.589764,2.82395,-0.560652,2.46568
-0.633758,-0.479148,0.607262,2.80384,-0.518839,2.48019
-0.659107,-0.418384,0.624926,2.78566,-0.475567,2.49285
-0.682337,-0.352774,0.640287,2.76984,-0.430797,2.50327
-0.702505,-0.283846,0.652624,2.75631,-0.384844,2.51156
-0.718841,-0.213924,0.661441,2.74541,-0.337832,2.5174
-0.73183,-0.140084,0.666934,2.73687,-0.290113,2.52107
-0.741884,-0.0513217,0.668561,2.73128,-0.241834,2.52207
-0.746112,0.0490479,0.664012,2.72916,-0.193313,2.51994
-0.740207,0.17805,0.648376,2.79113,-0.139478,2.58173
-0.71903,0.318167,0.617872,2.7984,-0.0925538,2.57134
-0.681623,0.454977,0.57305,2.81039,-0.0477154,2.5569
-0.630189,0.579567,0.516686,2.82778,-0.00646911,2.53794
-0.569921,0.684883,0.45401,2.84914,0.0311222,2.51573
-0.503971,0.771784,0.387767,2.87448,0.0639394,2.49035
-0.437339,0.839481,0.3225,2.90256,0.0925652,2.46287
-0.364975,0.895975,0.253025,2.93318,0.11634,2.43354
-0.291659,0.938691,0.183835,2.96577,0.135268,2.40283
-0.196104,0.975955,0.0951545,2.99988,0.149279,2.37117
-0.160604,0.985036,0.0625302,2.98061,0.15105,2.29378
-0.133674,0.990297,0.0379835,2.99509,0.153404,2.29389
-0.114252,0.993241,0.0204424,3.03533,0.157112,2.33884
-0.160609,0.985035,0.0625311,2.98337,0.151489,2.29396
-0.079261,0.99679,-0.0112661,3.02432,0.155722,2.29337
-0.0369359,0.998102,-0.0492655,3.05894,0.158465,2.29243
-0.0792643,0.99679,-0.0112648,3.05226,0.157939,2.29287
-0.0368937,0.998106,-0.0492191,3.07142,0.159615,2.30637
0.00551368,0.996184,-0.0871086,3.0679,0.158357,2.29176
0.00555108,0.996187,-0.0870668,3.08974,0.158092,2.29011
0.744824,0.00925427,-0.667197,3.47554,-0.336096,1.98139
0.739608,0.0789562,-0.668391,3.47749,-0.331365,1.9841
0.743816,0.0267281,-0.66785,3.47794,-0.335874,1.98407
0.746353,-0.0604767,-0.662797,3.47379,-0.339582,1.97973
0.742597,-0.154729,-0.65162,3.45009,-0.386846,1.95735
0.744661,-0.121144,-0.656357,3.47775,-0.384285,1.98826
0.721101,-0.310243,-0.619485,3.42048,-0.436657,1.93898
0.738206,-0.201337,-0.643829,3.43867,-0.406051,1.95027
0.728245,-0.271681,-0.629165,3.47239,-0.431847,1.997
0.709091,-0.363237,-0.604358,3.41708,-0.441412,1.93785
0.692038,-0.424151,-0.584106,3.46108,-0.476982,2.01085
0.709102,-0.36322,-0.604355,3.41991,-0.437456,1.93879
0.62989,-0.580952,-0.515493,3.44384,-0.518376,2.0297
0.574758,-0.678104,-0.458071,3.42224,-0.555699,2.0521
0.531432,-0.738914,-0.414229,3.3976,-0.589468,2.07693
0.503159,-0.773163,-0.386069,3.37129,-0.620905,2.10305
0.481947,-0.796489,-0.365148,3.344,-0.650825,2.12994
0.455225,-0.823311,-0.339012,3.31587,-0.67938,2.15745
0.415049,-0.858875,-0.300113,3.28649,-0.705662,2.18589
0.363197,-0.8974,-0.25052,3.25558,-0.728779,2.21544
0.294326,-0.937518,-0.185557,3.22312,-0.748103,2.24606
0.211814,-0.971223,-0.10891,3.18899,-0.762013,2.27773
0.123593,-0.991931,-0.0282255,3.15363,-0.770429,2.31003
0.0193506,-0.99766,0.06557,3.11752,-0.772761,2.3425
-0.096567,-0.981049,0.167979,3.08129,-0.767599,2.37446
-0.227571,-0.932261,0.281247,3.04575,-0.754957,2.40519
-0.35382,-0.851221,0.3876,3.01252,-0.73314,2.43308
-0.445302,-0.766656,0.462541,2.98208,-0.704484,2.45791
-0.510926,-0.688389,0.514855,2.95439,-0.671134,2.47989
-0.555462,-0.624153,0.549451,2.92927,-0.634327,2.4993
-0.584878,-0.575314,0.571779,2.90597,-0.595462,2.5169
-0.609375,-0.529719,0.589966,2.88423,-0.555065,2.53298
-0.633582,-0.479118,0.60747,2.86412,-0.513254,2.54749
-0.65892,-0.41836,0.62514,2.84594,-0.469983,2.56015
-0.682139,-0.35276,0.640505,2.83013,-0.425216,2.57057
-0.702298,-0.283844,0.652847,2.8166,-0.379265,2.57886
-0.718629,-0.213935,0.661668,2.80569,-0.332256,2.5847
-0.731618,-0.140105,0.667163,2.79716,-0.28454,2.58837
-0.741674,-0.0513433,0.668792,2.79157,-0.236263,2.58937
-0.745905,0.0490281,0.664246,2.78944,-0.187745,2.58725
-0.738914,0.188936,0.646768,2.85143,-0.133918,2.64902
-0.716106,0.330914,0.614564,2.85871,-0.086997,2.63863
-0.681426,0.454989,0.573275,2.87069,-0.0421614,2.62419
-0.629996,0.579586,0.5169,2.88808,-0.000917976,2.60523
-0.569736,0.684902,0.454213,2.90943,0.0366705,2.58302
-0.503797,0.7718,0.38796,2.93478,0.0694853,2.55764
-0.437181,0.839492,0.322684,2.96285,0.0981093,2.53017
-0.364833,0.895985,0.253196,2.99346,0.121882,2.50083
-0.291533,0.938699,0.183992,3.02605,0.14081,2.47013
-0.207747,0.972407,0.106139,3.06016,0.15482,2.43848
-0.119972,0.992441,0.025847,3.09561,0.162653,2.40614
-0.030752,0.998037,-0.0545547,3.1317,0.165156,2.37367
0.00558858,0.996191,-0.0870246,3.11116,0.157831,2.2885
0.0354302,0.992908,-0.113479,3.11995,0.157724,2.28784
0.0567803,0.989587,-0.132264,3.16798,0.16214,2.34148
0.0949473,0.981571,-0.165843,3.15409,0.153928,2.28492
0.120845,0.974618,-0.188459,3.17956,0.151096,2.28274
0.139303,0.96891,-0.204471,3.20399,0.153342,2.31002
0.17219,0.957112,-0.232995,3.18207,0.150585,2.2825
0.172202,0.957109,-0.233,3.19618,0.147298,2.27942
0.209685,0.941114,-0.26521,3.2393,0.139582,2.2796
0.215859,0.938198,-0.270536,3.23211,0.13892,2.27156
0.258735,0.915839,-0.307076,3.2368,0.137212,2.27042
0.258764,0.915834,-0.307066,3.25552,0.130395,2.26586
0.666707,0.398829,-0.629633,3.50458,-0.189239,2.05875
0.642589,0.459595,-0.613067,3.50424,-0.185292,2.06135
0.663409,0.407656,-0.627459,3.51001,-0.188737,2.06482
0.642565,0.459593,-0.613095,3.50322,-0.17288,2.06959
0.687776,0.336276,-0.643337,3.50434,-0.195033,2.05547
0.706575,0.268828,-0.654586,3.50263,-0.23637,2.03204
0.704067,0.278578,-0.65321,3.5241,-0.234388,2.05602
0.721817,0.200027,-0.662548,3.49864,-0.260895,2.02028
0.732064,0.139792,-0.666738,3.49451,-0.285527,2.00834
0.721806,0.200076,-0.662545,3.49479,-0.28453,2.00896
0.731034,0.146502,-0.666428,3.53332,-0.281939,2.05172
0.739574,0.0789467,-0.668429,3.48645,-0.307503,1.99683
0.739568,0.0789508,-0.668436,3.47829,-0.329432,1.98521
0.744694,0.00926842,-0.667342,3.53819,-0.330302,2.05138
0.744017,-0.131241,-0.655144,3.53799,-0.37871,2.05557
0.726113,-0.283318,-0.626491,3.53263,-0.426269,2.06431
0.685554,-0.444145,-0.576845,3.52132,-0.471401,2.07816
0.6298,-0.580983,-0.515568,3.50408,-0.512791,2.09701
0.574674,-0.678134,-0.458131,3.48249,-0.550111,2.11941
0.53136,-0.738937,-0.414281,3.45785,-0.583876,2.14424
0.503102,-0.773174,-0.386123,3.43154,-0.61531,2.17036
0.481905,-0.796486,-0.365208,3.40425,-0.645228,2.19724
0.455196,-0.8233,-0.339079,3.37612,-0.673782,2.22476
0.415033,-0.858858,-0.300183,3.34675,-0.700064,2.2532
0.363192,-0.897383,-0.250589,3.31584,-0.72318,2.28274
0.294333,-0.937504,-0.185619,3.28338,-0.742506,2.31336
0.211832,-0.971213,-0.108958,3.24925,-0.756417,2.34502
0.123622,-0.991927,-0.0282561,3.2139,-0.764835,2.37732
0.01939,-0.99766,0.0655665,3.1778,-0.767168,2.40979
-0.0965189,-0.981049,0.168012,3.14157,-0.762008,2.44176
-0.227515,-0.932251,0.281326,3.10603,-0.749367,2.47248
-0.353751,-0.851193,0.387725,3.07281,-0.72755,2.50037
-0.445214,-0.766613,0.462697,3.04237,-0.698894,2.5252
-0.510819,-0.688335,0.515033,3.01468,-0.665544,2.54718
-0.555336,-0.624096,0.549642,2.98957,-0.628737,2.56658
-0.584735,-0.575262,0.571978,2.96627,-0.589873,2.58419
-0.609216,-0.529675,0.590169,2.94454,-0.549478,2.60026
-0.633407,-0.479085,0.607679,2.92443,-0.507669,2.61477
-0.658731,-0.418335,0.625355,2.90625,-0.464401,2.62743
-0.68194,-0.352748,0.640724,2.89044,-0.419636,2.63786
-0.702091,-0.283847,0.653069,2.87691,-0.373689,2.64614
-0.718416,-0.213954,0.661892,2.866,-0.326684,2.65199
-0.731404,-0.140138,0.66739,2.85747,-0.278971,2.65566
-0.741463,-0.0513802,0.669024,2.85187,-0.230697,2.65666
-0.745699,0.0489964,0.664479,2.84975,-0.182182,2.65453
-0.718713,0.318159,0.618245,2.91903,-0.0814477,2.70591
-0.739843,0.17799,0.648808,2.91176,-0.128366,2.7163
-0.6813,0.454992,0.573422,2.93101,-0.0366156,2.69147
-0.62987,0.579599,0.517039,2.9484,0.00462421,2.67251
-0.569615,0.684917,0.454344,2.96975,0.0422092,2.6503
-0.503684,0.771811,0.388086,2.99509,0.0750209,2.62492
-0.43708,0.839498,0.322806,3.02317,0.103643,2.59745
-0.364746,0.895988,0.253311,3.05377,0.127414,2.56812
-0.291458,0.938701,0.184099,3.08636,0.14634,2.53742
-0.20768,0.972411,0.106232,3.12046,0.160351,2.50576
-0.119914,0.992446,0.0259245,3.1559,0.168183,2.47343
-0.0367615,0.998119,-0.0490587,3.19199,0.170686,2.44096
